Image_ID,Class
frames/pass1_frame0.jpg,0
frames/pass1_frame1.jpg,0
frames/pass1_frame2.jpg,0
frames/pass1_frame3.jpg,0
frames/pass1_frame4.jpg,0
frames/pass1_frame5.jpg,1
frames/pass1_frame6.jpg,0
frames/pass1_frame7.jpg,0
frames/pass1_frame8.jpg,0
frames/pass1_frame9.jpg,0
frames/pass1_frame10.jpg,0
frames/pass1_frame11.jpg,0
frames/pass1_frame12.jpg,0
frames/pass2_frame0.jpg,0
frames/pass2_frame1.jpg,0
frames/pass2_frame2.jpg,0
frames/pass2_frame3.jpg,1
frames/pass2_frame4.jpg,1
frames/pass2_frame5.jpg,1
frames/pass2_frame6.jpg,0
frames/pass2_frame7.jpg,0
frames/pass2_frame8.jpg,0
frames/pass2_frame9.jpg,0
frames/pass2_frame10.jpg,0
frames/pass3_frame0.jpg,0
frames/pass3_frame1.jpg,0
frames/pass3_frame2.jpg,0
frames/pass3_frame3.jpg,1
frames/pass3_frame4.jpg,1
frames/pass3_frame5.jpg,1
frames/pass3_frame6.jpg,1
frames/pass3_frame7.jpg,0
frames/pass4_frame0.jpg,0
frames/pass4_frame1.jpg,1
frames/pass4_frame2.jpg,1
frames/pass4_frame3.jpg,1
frames/pass5_frame0.jpg,0
frames/pass5_frame1.jpg,0
frames/pass5_frame2.jpg,1
frames/pass5_frame3.jpg,1
frames/pass5_frame4.jpg,1
frames/pass5_frame5.jpg,0
frames/pass5_frame6.jpg,0
frames/pass5_frame7.jpg,0
frames/run1_frame0.jpg,0
frames/run1_frame1.jpg,0
frames/run1_frame2.jpg,0
frames/run1_frame3.jpg,0
frames/run1_frame4.jpg,0
frames/run1_frame5.jpg,0
frames/run1_frame6.jpg,0
frames/run1_frame7.jpg,0
frames/run1_frame8.jpg,0
frames/run1_frame9.jpg,0
frames/run1_frame10.jpg,0
frames/run1_frame11.jpg,0
frames/run1_frame12.jpg,0
frames/run2_frame0.jpg,0
frames/run2_frame1.jpg,0
frames/run2_frame2.jpg,0
frames/run2_frame3.jpg,0
frames/run2_frame4.jpg,0
frames/run2_frame5.jpg,0
frames/run2_frame6.jpg,0
frames/run3_frame0.jpg,0
frames/run3_frame1.jpg,0
frames/run3_frame2.jpg,0
frames/run3_frame3.jpg,0
frames/run3_frame4.jpg,0
frames/run3_frame5.jpg,0
frames/run3_frame6.jpg,0
frames/run3_frame7.jpg,0
frames/run3_frame8.jpg,0
frames/run3_frame9.jpg,0
frames/run3_frame10.jpg,0
frames/run3_frame11.jpg,0
frames/run3_frame12.jpg,0
frames/run4_frame0.jpg,0
frames/run4_frame1.jpg,0
frames/run4_frame2.jpg,0
frames/run4_frame3.jpg,0
frames/run4_frame4.jpg,0
frames/run5_frame0.jpg,0
frames/run5_frame1.jpg,0
frames/run5_frame2.jpg,0
frames/run5_frame3.jpg,0
frames/run5_frame4.jpg,0
frames/run5_frame5.jpg,0
frames/run5_frame6.jpg,0
frames/run5_frame7.jpg,0
frames/run5_frame8.jpg,0
frames/run5_frame9.jpg,0
frames/run5_frame10.jpg,0
frames/run5_frame11.jpg,0
